RHO   : 1.225
NU    : 1.463e-05
B     : 2
U_inf : 7.9
RPM   : 140
power : 195.66057948879254
R_out : 1.42
R_in  : 0.059
N     : 50
M     : 50
dt    : 0.05
thrust: 21.99058177149203
eta   : 0.8878926784776189
optsucess:Optimization terminated successfully
îºåar[m],óÉå∑í∑chord[m],éÊïtäptheta[deg],ó¨ì¸äpphi[deg],å}äpalpha[deg],èzä¬gamma,Re,ógóÕåWêîCL,çRóÕåWêîCD,ó¨ì¸ë¨ìxV,ã«èäógóÕdL,ã«èäçRóÕdD
8.892099999999999449e-01,1.236337505227854683e-01,3.614879618440107834e+01,3.269210704847305493e+01,3.456689135928021628e+00,8.002717067834433928e-01,1.287576278165988333e+05,8.496697673783047966e-01,1.543526203289384037e-02,1.523632573622907493e+01,4.065761708058410751e-01,7.385939777617888703e-03
9.164299999999999669e-01,1.208875371661268378e-01,3.536987892842412862e+01,3.194951212044992417e+01,3.420366807974206225e+00,7.963551056496414038e-01,1.287287933224649023e+05,8.457007973212460339e-01,1.544157416475008468e-02,1.557896116056676838e+01,4.136847133332408610e-01,7.553431665185136347e-03
9.436499999999999888e-01,1.182311744530853553e-01,3.463974178776945934e+01,3.126868044587787665e+01,3.371061341891582241e+00,7.910673752340838805e-01,1.286894323151732679e+05,8.403423645954770649e-01,1.545015241984720213e-02,1.592411141545463416e+01,4.200421676813543281e-01,7.722704205879170856e-03
9.708700000000000108e-01,1.156547842455067504e-01,3.390548611582649841e+01,3.060402350700190155e+01,3.301462608824597300e+00,7.836594590530794324e-01,1.286334371508914628e+05,8.328353970735979939e-01,1.546228146334528708e-02,1.627176253705782472e+01,4.251930795680385899e-01,7.894062975287536796e-03
9.980900000000000327e-01,1.131561539067360844e-01,3.318106263841860226e+01,2.996847807088939675e+01,3.212584567529206403e+00,7.742787066495053772e-01,1.285610644352158706e+05,8.233292145110845395e-01,1.547783220927194739e-02,1.662170644503712680e+01,4.291381587583188995e-01,8.067402806544943239e-03
1.025309999999999722e+00,1.107314828564858744e-01,3.246838907447574485e+01,2.936424170084998764e+01,3.104147373625756323e+00,7.629182129776924670e-01,1.284711487350907119e+05,8.118168195348155480e-01,1.549696201073981483e-02,1.697378972546006537e+01,4.317983815090307154e-01,8.242700758994820492e-03
1.052529999999999744e+00,1.083750309408218759e-01,3.175379778187581792e+01,2.877941427150696541e+01,2.974383510368853401e+00,7.493533890707961831e-01,1.283603882907948864e+05,7.980706201960323654e-01,1.552024960611319941e-02,1.732790721619043595e+01,4.329691960388642458e-01,8.420044322181328283e-03
1.079749999999999766e+00,1.060842885052343532e-01,3.105790770080320229e+01,2.823250524145489138e+01,2.825402459348310469e+00,7.337876417084264746e-01,1.282284936865449854e+05,7.822967430289654578e-01,1.554760338092467387e-02,1.768388975471697222e+01,4.326855597654984953e-01,8.599324401940231302e-03
1.106969999999999787e+00,1.038522919704863712e-01,3.038104224889156058e+01,2.772610620648444524e+01,2.654936042407116670e+00,7.158778667587414324e-01,1.280700002401773381e+05,7.641474962520898861e-01,1.557996555625837387e-02,1.804162496525611914e+01,4.306642239662151761e-01,8.780678872358503237e-03
1.134189999999999809e+00,1.015465475578682247e-01,2.964581211981126785e+01,2.718387921459961376e+01,2.461932905211654088e+00,6.942628703282945901e-01,1.277218392304456211e+05,7.430951814530725175e-01,1.562536245301550733e-02,1.840112296163076522e+01,4.259832047371536201e-01,8.957320864198715579e-03
